analysis,model,train_sheets,test_sheet,accuracy
single_sheet_train,Random Forest,ALL,ALL2,0.7833333333333333
single_sheet_train,Ridge Classifier,ALL,ALL2,0.5416666666666666
single_sheet_train,Logistic Regression,ALL,ALL2,0.7333333333333333
single_sheet_train,Random Forest,ALL,ALL3,0.7166666666666667
single_sheet_train,Ridge Classifier,ALL,ALL3,0.475
single_sheet_train,Logistic Regression,ALL,ALL3,0.6166666666666667
single_sheet_train,Random Forest,ALL2,ALL,0.8
single_sheet_train,Ridge Classifier,ALL2,ALL,0.525
single_sheet_train,Logistic Regression,ALL2,ALL,0.7333333333333333
single_sheet_train,Random Forest,ALL2,ALL3,0.7833333333333333
single_sheet_train,Ridge Classifier,ALL2,ALL3,0.5666666666666667
single_sheet_train,Logistic Regression,ALL2,ALL3,0.7
single_sheet_train,Random Forest,ALL3,ALL,0.7916666666666666
single_sheet_train,Ridge Classifier,ALL3,ALL,0.425
single_sheet_train,Logistic Regression,ALL3,ALL,0.6583333333333333
single_sheet_train,Random Forest,ALL3,ALL2,0.8166666666666667
single_sheet_train,Ridge Classifier,ALL3,ALL2,0.4583333333333333
single_sheet_train,Logistic Regression,ALL3,ALL2,0.675
two_sheet_train,Random Forest,ALL + ALL2,ALL3,0.7666666666666667
two_sheet_train,Ridge Classifier,ALL + ALL2,ALL3,0.5916666666666667
two_sheet_train,Logistic Regression,ALL + ALL2,ALL3,0.6666666666666666
two_sheet_train,Random Forest,ALL + ALL3,ALL2,0.8083333333333333
two_sheet_train,Ridge Classifier,ALL + ALL3,ALL2,0.625
two_sheet_train,Logistic Regression,ALL + ALL3,ALL2,0.725
two_sheet_train,Random Forest,ALL2 + ALL3,ALL,0.8
two_sheet_train,Ridge Classifier,ALL2 + ALL3,ALL,0.5916666666666667
two_sheet_train,Logistic Regression,ALL2 + ALL3,ALL,0.6916666666666667
