analysis,model,train_sheets,test_sheet,accuracy
single_sheet_train,Random Forest,ALL,ALL2,0.6916666666666667
single_sheet_train,Ridge Classifier,ALL,ALL2,0.31666666666666665
single_sheet_train,Logistic Regression,ALL,ALL2,0.5
single_sheet_train,Random Forest,ALL,ALL3,0.7083333333333334
single_sheet_train,Ridge Classifier,ALL,ALL3,0.35
single_sheet_train,Logistic Regression,ALL,ALL3,0.5083333333333333
single_sheet_train,Random Forest,ALL2,ALL,0.5833333333333334
single_sheet_train,Ridge Classifier,ALL2,ALL,0.3416666666666667
single_sheet_train,Logistic Regression,ALL2,ALL,0.31666666666666665
single_sheet_train,Random Forest,ALL2,ALL3,0.7166666666666667
single_sheet_train,Ridge Classifier,ALL2,ALL3,0.5416666666666666
single_sheet_train,Logistic Regression,ALL2,ALL3,0.65
single_sheet_train,Random Forest,ALL3,ALL,0.6666666666666666
single_sheet_train,Ridge Classifier,ALL3,ALL,0.35833333333333334
single_sheet_train,Logistic Regression,ALL3,ALL,0.38333333333333336
single_sheet_train,Random Forest,ALL3,ALL2,0.7916666666666666
single_sheet_train,Ridge Classifier,ALL3,ALL2,0.5333333333333333
single_sheet_train,Logistic Regression,ALL3,ALL2,0.7166666666666667
two_sheet_train,Random Forest,ALL + ALL2,ALL3,0.7916666666666666
two_sheet_train,Ridge Classifier,ALL + ALL2,ALL3,0.6
two_sheet_train,Logistic Regression,ALL + ALL2,ALL3,0.6583333333333333
two_sheet_train,Random Forest,ALL + ALL3,ALL2,0.7916666666666666
two_sheet_train,Ridge Classifier,ALL + ALL3,ALL2,0.5583333333333333
two_sheet_train,Logistic Regression,ALL + ALL3,ALL2,0.65
two_sheet_train,Random Forest,ALL2 + ALL3,ALL,0.6416666666666667
two_sheet_train,Ridge Classifier,ALL2 + ALL3,ALL,0.3416666666666667
two_sheet_train,Logistic Regression,ALL2 + ALL3,ALL,0.38333333333333336
