model,accuracy_mean,accuracy_std,n_samples,n_features
Random Forest,0.7805555555555557,0.06734480202210438,360,100
Logistic Regression,0.6027777777777777,0.07296625298090942,360,100
Ridge Classifier,0.5611111111111111,0.07148244098377327,360,100
