model,accuracy_mean,accuracy_std,n_samples,n_features
Random Forest,0.8722222222222223,0.05270462766947296,360,100
Logistic Regression,0.663888888888889,0.08531592222066252,360,100
Ridge Classifier,0.6611111111111112,0.07943559477602671,360,100
