analysis,model,train_sheets,test_sheet,accuracy
single_sheet_train,Random Forest,ALL,ALL2,0.16666666666666666
single_sheet_train,Ridge Classifier,ALL,ALL2,0.24166666666666667
single_sheet_train,Logistic Regression,ALL,ALL2,0.20833333333333334
single_sheet_train,Random Forest,ALL,ALL3,0.175
single_sheet_train,Ridge Classifier,ALL,ALL3,0.2
single_sheet_train,Logistic Regression,ALL,ALL3,0.16666666666666666
single_sheet_train,Random Forest,ALL2,ALL,0.16666666666666666
single_sheet_train,Ridge Classifier,ALL2,ALL,0.2
single_sheet_train,Logistic Regression,ALL2,ALL,0.13333333333333333
single_sheet_train,Random Forest,ALL2,ALL3,0.15833333333333333
single_sheet_train,Ridge Classifier,ALL2,ALL3,0.15
single_sheet_train,Logistic Regression,ALL2,ALL3,0.18333333333333332
single_sheet_train,Random Forest,ALL3,ALL,0.175
single_sheet_train,Ridge Classifier,ALL3,ALL,0.14166666666666666
single_sheet_train,Logistic Regression,ALL3,ALL,0.19166666666666668
single_sheet_train,Random Forest,ALL3,ALL2,0.14166666666666666
single_sheet_train,Ridge Classifier,ALL3,ALL2,0.18333333333333332
single_sheet_train,Logistic Regression,ALL3,ALL2,0.19166666666666668
two_sheet_train,Random Forest,ALL + ALL2,ALL3,0.18333333333333332
two_sheet_train,Ridge Classifier,ALL + ALL2,ALL3,0.21666666666666667
two_sheet_train,Logistic Regression,ALL + ALL2,ALL3,0.19166666666666668
two_sheet_train,Random Forest,ALL + ALL3,ALL2,0.15833333333333333
two_sheet_train,Ridge Classifier,ALL + ALL3,ALL2,0.18333333333333332
two_sheet_train,Logistic Regression,ALL + ALL3,ALL2,0.18333333333333332
two_sheet_train,Random Forest,ALL2 + ALL3,ALL,0.16666666666666666
two_sheet_train,Ridge Classifier,ALL2 + ALL3,ALL,0.19166666666666668
two_sheet_train,Logistic Regression,ALL2 + ALL3,ALL,0.15833333333333333
