model,accuracy_mean,accuracy_std,n_samples,n_features
Random Forest,0.9333333333333333,0.04182070292828227,360,100
Logistic Regression,0.8194444444444444,0.07320087176315693,360,100
Ridge Classifier,0.6472222222222221,0.10959615354759482,360,100
