model,accuracy_mean,accuracy_std,n_samples,n_features
Random Forest,0.8944444444444445,0.046848557928420416,360,100
Logistic Regression,0.7416666666666667,0.06286757480284429,360,100
Ridge Classifier,0.5166666666666667,0.09460770203292444,360,100
