model,accuracy_mean,accuracy_std,n_samples,n_features
Random Forest,0.9416666666666667,0.04977659279894671,360,100
Logistic Regression,0.8111111111111111,0.06252571487457087,360,100
Ridge Classifier,0.6277777777777777,0.0809324940126376,360,100
