model,accuracy_mean,accuracy_std,n_samples,n_features
Random Forest,0.8111111111111111,0.07384222976806254,360,100
Logistic Regression,0.5777777777777777,0.05972042776517442,360,100
Ridge Classifier,0.5361111111111111,0.08077343884283109,360,100
