model,accuracy_mean,accuracy_std,n_samples,n_features
Random Forest,0.8944444444444445,0.06521043282095927,360,100
Logistic Regression,0.736111111111111,0.09189552426518154,360,100
Ridge Classifier,0.46388888888888885,0.1047974727179327,360,100
