model,accuracy_mean,accuracy_std,n_samples,n_features
Random Forest,0.8055555555555556,0.07746852097537738,360,100
Logistic Regression,0.6833333333333333,0.07657804862272345,360,100
Ridge Classifier,0.5972222222222223,0.04943091783347827,360,100
