model,accuracy_mean,accuracy_std,n_samples,n_features
Random Forest,0.8805555555555555,0.05715296060004059,360,100
Logistic Regression,0.7388888888888889,0.05430695666153773,360,100
Ridge Classifier,0.6500000000000001,0.10327291476739767,360,100
