analysis,model,train_sheets,test_sheet,accuracy
single_sheet_train,Random Forest,ALL,ALL2,0.7
single_sheet_train,Ridge Classifier,ALL,ALL2,0.36666666666666664
single_sheet_train,Logistic Regression,ALL,ALL2,0.44166666666666665
single_sheet_train,Random Forest,ALL,ALL3,0.725
single_sheet_train,Ridge Classifier,ALL,ALL3,0.36666666666666664
single_sheet_train,Logistic Regression,ALL,ALL3,0.4
single_sheet_train,Random Forest,ALL2,ALL,0.8166666666666667
single_sheet_train,Ridge Classifier,ALL2,ALL,0.375
single_sheet_train,Logistic Regression,ALL2,ALL,0.5916666666666667
single_sheet_train,Random Forest,ALL2,ALL3,0.8833333333333333
single_sheet_train,Ridge Classifier,ALL2,ALL3,0.4666666666666667
single_sheet_train,Logistic Regression,ALL2,ALL3,0.75
single_sheet_train,Random Forest,ALL3,ALL,0.7
single_sheet_train,Ridge Classifier,ALL3,ALL,0.4
single_sheet_train,Logistic Regression,ALL3,ALL,0.4666666666666667
single_sheet_train,Random Forest,ALL3,ALL2,0.8916666666666667
single_sheet_train,Ridge Classifier,ALL3,ALL2,0.4083333333333333
single_sheet_train,Logistic Regression,ALL3,ALL2,0.7
two_sheet_train,Random Forest,ALL + ALL2,ALL3,0.8416666666666667
two_sheet_train,Ridge Classifier,ALL + ALL2,ALL3,0.4
two_sheet_train,Logistic Regression,ALL + ALL2,ALL3,0.6666666666666666
two_sheet_train,Random Forest,ALL + ALL3,ALL2,0.9083333333333333
two_sheet_train,Ridge Classifier,ALL + ALL3,ALL2,0.4583333333333333
two_sheet_train,Logistic Regression,ALL + ALL3,ALL2,0.725
two_sheet_train,Random Forest,ALL2 + ALL3,ALL,0.8
two_sheet_train,Ridge Classifier,ALL2 + ALL3,ALL,0.3333333333333333
two_sheet_train,Logistic Regression,ALL2 + ALL3,ALL,0.5416666666666666
