model,accuracy_mean,accuracy_std,n_samples,n_features
Ridge Classifier,0.22222222222222224,0.07290748031492418,360,100
Logistic Regression,0.20833333333333331,0.07436286298244912,360,100
Random Forest,0.18888888888888888,0.0665121666521036,360,100
